Name,PAC,SHO,PAS,DRI,DEF,PHY
 NEYMAR JR, 91, 85, 87, 95, 32,
 BOULAYA, 76, 65, 70,, 25,
 ELIA, 92, 68, 68,,,
 DI MARIA, 84, 79, 84,,,
 SHAQIRI, 80, 77, 81,, 46,
 SAINT-MAXIMIN, 93, 70, 70,,,
 MACKAY-STEVEN, 83, 62, 62, 74,,
 QUARESMA, 77, 73, 82, 86, 24,
 JOAO FELIX, 82, 80, 74,,, 70
 MBAPPE, 96, 84, 78, 90,,
 MAHRE, 84, 78, 79,,,
 POGBA, 74, 81, 86,,,
 GELSON MARTINS, 95, 71, 74, 86, 47, 61
, 70, 69, 77,,,
, 72, 75, 79, 86,,
 ACOSTA, 81, 67, 71, 80,, 61
 KISHNA, 73, 65, 66, 76,, 46
 AVID NERES, 87, 73, 73, 87,,
 MARLOS, 83, 78, 79,,, 73
 SONGKRASIN, 85, 65, 66, 76,,
 VILLANUEVA, 61, 71, 76, 78,,
, 91, 72, 77,,,
, 93, 79, 80, 87, 36,
, 68, 63, 70, 76,,
 EL SHAARAWY, 87, 78, 71,, 42,
 THIAGO, 69, 74, 85, 90, 69,
 CRISTIANO RONALDO, 90, 93, 82,,,
 MAXIM, 69, 67, 71, 78, 32,
 HARIT, 81, 60, 71,,, 46
 COUTINHO, 79, 80, 84, 90,,
 DEPAY, 87, 80, 81, 83,,
 PROMES, 91, 79, 79,,,
, 74, 69, 82, 84,,
 MCGEADY, 76, 71, 72, 78, 44,
 MARCELO, 81, 74, 83,,, 79
 SANCHO, 88, 72, 77,, 36,
 PIATTI, 73, 81, 74, 84, 55, 75
 BEN EL-MHANNI, 76, 46, 48, 68, 22, 37
 ASHFORD, 92, 82, 73, 83,, 77
, 93, 70, 71, 84,,
 IBRAHIMOVIC, 56, 88, 77, 78,,
 CORONA, 83, 70, 75,, 62, 54
, 91, 76, 72, 87, 27,
 BOLASIE, 81, 69, 69,,,
 DOUGLAS COSTA, 94, 73, 79, 91, 43, 61
 BERNARDESCHI, 81, 75, 81,, 60,
 ILSINHO, 60, 64, 66, 76,,
 g LARSSON, 74, 71, 73,, 38,
 BOTAKA, 83, 65, 60,, 55,
